city,country,continent,lon,lat,Change_in_HW_Days,Change_in_Tmax,koppen_geiger_class,climate_class_label,climate_class_description,nearest_city_pop_max,pop_group
Waitangi,New Zealand,Oceania,-176.25,-43.75,88.15789474,0,15,Cfb,"Temperate, no dry season, warm summer",300,Small (<50k)
Atka,United States of America,North America,-174.375,52.14917496,98.69281046,0,16,Cfc,"Temperate, no dry season, cold summer",61,Small (<50k)
Provideniya,Russia,Europe,-173.4375,64.375,67.97385621,0,27,Dfc,"Cold, no dry season, cold summer",2536,Small (<50k)
Provideniya,Russia,Europe,-173.25,64.48539887,98.69281046,0,18,Dsb,"Cold, dry summer, warm summer",2536,Small (<50k)
Provideniya,Russia,Europe,-173.25,64.48539887,98.69281046,0,18,Dsb,"Cold, dry summer, warm summer",2536,Small (<50k)
Nikolski,United States of America,North America,-168.75,53,98.69281046,0,15,Cfb,"Temperate, no dry season, warm summer",18,Small (<50k)
Nikolski,United States of America,North America,-168.75,53.15959537,98.69281046,0,16,Cfc,"Temperate, no dry season, cold summer",18,Small (<50k)
Nikolski,United States of America,North America,-168.75,53.1595993,98.69281046,0,16,Cfc,"Temperate, no dry season, cold summer",18,Small (<50k)
Wales,United States of America,North America,-167.8125,65.625,85.62091503,0,19,Dsc,"Cold, dry summer, cold summer",99,Small (<50k)
Unalaska,United States of America,North America,-166.875,53.76597003,98.69281046,0,15,Cfb,"Temperate, no dry season, warm summer",3571,Small (<50k)
Teller,United States of America,North America,-166,65.25,78.43137255,0,26,Dfb,"Cold, no dry season, warm summer",83,Small (<50k)
Mekoryuk,United States of America,North America,-165.9375,60.31134933,98.69281046,0,26,Dfb,"Cold, no dry season, warm summer",99,Small (<50k)
Tununak,United States of America,North America,-165,60.62039593,81.69934641,0,26,Dfb,"Cold, no dry season, warm summer",352,Small (<50k)
Tununak,United States of America,North America,-165,60.62039948,94.77124183,0,26,Dfb,"Cold, no dry season, warm summer",352,Small (<50k)
Nome,United States of America,North America,-165,64.55497382,98.03921569,0,26,Dfb,"Cold, no dry season, warm summer",3485,Small (<50k)
Kivalina,United States of America,North America,-164.25,67.84978441,94.11764706,0,19,Dsc,"Cold, dry summer, cold summer",374,Small (<50k)
Kivalina,United States of America,North America,-164.25,67.84978441,89.54248366,0,19,Dsc,"Cold, dry summer, cold summer",374,Small (<50k)
Mountain Village,United States of America,North America,-164.0625,62.18145192,96.73202614,0,26,Dfb,"Cold, no dry season, warm summer",755,Small (<50k)
Mountain Village,United States of America,North America,-164,62.25,81.04575163,0,26,Dfb,"Cold, no dry season, warm summer",755,Small (<50k)
False Pass,United States of America,North America,-163.75,55,98.69281046,0,15,Cfb,"Temperate, no dry season, warm summer",35,Small (<50k)
Kotlit,United States of America,North America,-163.75,63,73.85620915,0,26,Dfb,"Cold, no dry season, warm summer",1002,Small (<50k)
False Pass,United States of America,North America,-163.125,54.70102573,98.69281046,0,15,Cfb,"Temperate, no dry season, warm summer",35,Small (<50k)
Bethel,United States of America,North America,-162,60.75,83.66013072,0,26,Dfb,"Cold, no dry season, warm summer",6228,Small (<50k)
Bethel,United States of America,North America,-161.71875,60.93307192,86.92810458,0,26,Dfb,"Cold, no dry season, warm summer",6228,Small (<50k)
Goodnews Bay,United States of America,North America,-161.25,59,88.88888889,0,26,Dfb,"Cold, no dry season, warm summer",230,Small (<50k)
Koyuk,United States of America,North America,-161.25,64.9865988,72.54901961,0,26,Dfb,"Cold, no dry season, warm summer",254,Small (<50k)
Koyuk,United States of America,North America,-161.25,65,86.2745098,0,26,Dfb,"Cold, no dry season, warm summer",254,Small (<50k)
Nyac,United States of America,North America,-160.3125,60.93307192,88.23529412,0,26,Dfb,"Cold, no dry season, warm summer",100,Small (<50k)
Nyac,United States of America,North America,-160,60.84507,93.46405229,0,26,Dfb,"Cold, no dry season, warm summer",100,Small (<50k)
Selawik,United States of America,North America,-160,66.43979058,90.19607843,0,26,Dfb,"Cold, no dry season, warm summer",832,Small (<50k)
Selawik,United States of America,North America,-160,66.75,66.0130719,0,26,Dfb,"Cold, no dry season, warm summer",832,Small (<50k)
Nyac,United States of America,North America,-159.75,61.1209913,94.11764706,0,26,Dfb,"Cold, no dry season, warm summer",100,Small (<50k)
Selawik,United States of America,North America,-159.75,66.7283256,88.23529412,0,26,Dfb,"Cold, no dry season, warm summer",832,Small (<50k)
Selawik,United States of America,North America,-159.75,66.7283256,82.35294118,0,26,Dfb,"Cold, no dry season, warm summer",832,Small (<50k)
Lihue,United States of America,North America,-159.375,21.97394799,99.45355191,0,1,Af,"Tropical, rainforest",15536,Small (<50k)
Dillingham,United States of America,North America,-158.75,59,86.2745098,0,26,Dfb,"Cold, no dry season, warm summer",2488,Small (<50k)
Kaltag,United States of America,North America,-158.625,64.48539887,79.73856209,0,26,Dfb,"Cold, no dry season, warm summer",190,Small (<50k)
Kaltag,United States of America,North America,-158.625,64.48539887,84.96732026,0,26,Dfb,"Cold, no dry season, warm summer",190,Small (<50k)
Port Heiden,United States of America,North America,-158.4375,56.875,84.31372549,0,15,Cfb,"Temperate, no dry season, warm summer",102,Small (<50k)
Kaltag,United States of America,North America,-158.4375,64.375,54.24836601,0,26,Dfb,"Cold, no dry season, warm summer",190,Small (<50k)
Pilot Point,United States of America,North America,-157.5,57.75656862,98.69281046,0,15,Cfb,"Temperate, no dry season, warm summer",68,Small (<50k)
