city,country,continent,lon,lat,koppen_geiger_class,climate_class_label,climate_class_description,nearest_city_pop_max,pop_group,wbt_continent_wbt
Wales,United States of America,North America,-167.8125,65.625,19,Dsc,"Cold, dry summer, cold summer",99,Small (<50k),10.456811
Unalaska,United States of America,North America,-166.875,53.76597003,15,Cfb,"Temperate, no dry season, warm summer",3571,Small (<50k),1.4860696
Teller,United States of America,North America,-166,65.25,26,Dfb,"Cold, no dry season, warm summer",83,Small (<50k),2.8116121
Mekoryuk,United States of America,North America,-165.9375,60.31134933,26,Dfb,"Cold, no dry season, warm summer",99,Small (<50k),12.07779
Tununak,United States of America,North America,-165,60.62039593,26,Dfb,"Cold, no dry season, warm summer",352,Small (<50k),-4.34868
Tununak,United States of America,North America,-165,60.62039948,26,Dfb,"Cold, no dry season, warm summer",352,Small (<50k),-4.34868
Nome,United States of America,North America,-165,64.55497382,26,Dfb,"Cold, no dry season, warm summer",3485,Small (<50k),-8.878714
Kivalina,United States of America,North America,-164.25,67.84978441,19,Dsc,"Cold, dry summer, cold summer",374,Small (<50k),9.069724
Kivalina,United States of America,North America,-164.25,67.84978441,19,Dsc,"Cold, dry summer, cold summer",374,Small (<50k),9.069724
Mountain Village,United States of America,North America,-164.0625,62.18145192,26,Dfb,"Cold, no dry season, warm summer",755,Small (<50k),13.15348
Mountain Village,United States of America,North America,-164,62.25,26,Dfb,"Cold, no dry season, warm summer",755,Small (<50k),13.15348
False Pass,United States of America,North America,-163.75,55,15,Cfb,"Temperate, no dry season, warm summer",35,Small (<50k),10.942363
False Pass,United States of America,North America,-163.125,54.70102573,15,Cfb,"Temperate, no dry season, warm summer",35,Small (<50k),10.942363
Bethel,United States of America,North America,-162,60.75,26,Dfb,"Cold, no dry season, warm summer",6228,Small (<50k),-13.263616
Bethel,United States of America,North America,-161.71875,60.93307192,26,Dfb,"Cold, no dry season, warm summer",6228,Small (<50k),-9.023595
Koyuk,United States of America,North America,-161.25,64.9865988,26,Dfb,"Cold, no dry season, warm summer",254,Small (<50k),9.341312
Koyuk,United States of America,North America,-161.25,65,26,Dfb,"Cold, no dry season, warm summer",254,Small (<50k),9.341312
Nyac,United States of America,North America,-160.3125,60.93307192,26,Dfb,"Cold, no dry season, warm summer",100,Small (<50k),12.033099
Nyac,United States of America,North America,-160,60.84507,26,Dfb,"Cold, no dry season, warm summer",100,Small (<50k),12.501557
Selawik,United States of America,North America,-160,66.43979058,26,Dfb,"Cold, no dry season, warm summer",832,Small (<50k),-14.132346
Selawik,United States of America,North America,-160,66.75,26,Dfb,"Cold, no dry season, warm summer",832,Small (<50k),8.867604
Nyac,United States of America,North America,-159.75,61.1209913,26,Dfb,"Cold, no dry season, warm summer",100,Small (<50k),-8.768192
Selawik,United States of America,North America,-159.75,66.7283256,26,Dfb,"Cold, no dry season, warm summer",832,Small (<50k),8.867604
Selawik,United States of America,North America,-159.75,66.7283256,26,Dfb,"Cold, no dry season, warm summer",832,Small (<50k),8.867604
Dillingham,United States of America,North America,-158.75,59,26,Dfb,"Cold, no dry season, warm summer",2488,Small (<50k),-4.6688733
Kaltag,United States of America,North America,-158.625,64.48539887,26,Dfb,"Cold, no dry season, warm summer",190,Small (<50k),-13.260032
Kaltag,United States of America,North America,-158.625,64.48539887,26,Dfb,"Cold, no dry season, warm summer",190,Small (<50k),-13.260032
Port Heiden,United States of America,North America,-158.4375,56.875,15,Cfb,"Temperate, no dry season, warm summer",102,Small (<50k),-1.95015
Kaltag,United States of America,North America,-158.4375,64.375,26,Dfb,"Cold, no dry season, warm summer",190,Small (<50k),-13.260032
Pilot Point,United States of America,North America,-157.5,57.75656862,15,Cfb,"Temperate, no dry season, warm summer",68,Small (<50k),13.706787
Koyukuk,United States of America,North America,-157.5,64.9865988,26,Dfb,"Cold, no dry season, warm summer",101,Small (<50k),13.739557
Koyukuk,United States of America,North America,-157.5,65,26,Dfb,"Cold, no dry season, warm summer",101,Small (<50k),13.739557
Atqasuk,United States of America,North America,-157.5,70.59685394,7,BSk,"Arid, steppe, cold",201,Small (<50k),-18.925282
Kobuk,United States of America,North America,-156.5625,66.85669072,26,Dfb,"Cold, no dry season, warm summer",151,Small (<50k),12.631544
Kobuk,United States of America,North America,-156.5625,66.875,26,Dfb,"Cold, no dry season, warm summer",151,Small (<50k),12.631544
Wailuku,United States of America,North America,-156.375,20.74755823,3,Aw,"Tropical, savannah",52148,Medium (50k-500k),22.16218
Wailuku,United States of America,North America,-156.375,20.74755823,3,Aw,"Tropical, savannah",52148,Medium (50k-500k),22.16218
Kailua-Kona,United States of America,North America,-155.625,19.58521861,15,Cfb,"Temperate, no dry season, warm summer",9870,Small (<50k),19.104025
Kailua-Kona,United States of America,North America,-155.625,19.58522034,15,Cfb,"Temperate, no dry season, warm summer",9870,Small (<50k),19.104025
Hilo,United States of America,North America,-155.25,19.62606908,1,Af,"Tropical, rainforest",52391,Medium (50k-500k),19.104025
Hilo,United States of America,North America,-155.25,19.62606908,1,Af,"Tropical, rainforest",52391,Medium (50k-500k),19.104025
Newhalen,United States of America,North America,-155,59.577465,15,Cfb,"Temperate, no dry season, warm summer",160,Small (<50k),12.196598
Newhalen,United States of America,North America,-155,59.84293194,26,Dfb,"Cold, no dry season, warm summer",160,Small (<50k),12.658356
Newhalen,United States of America,North America,-154.6875,59.53233673,15,Cfb,"Temperate, no dry season, warm summer",160,Small (<50k),12.196598
Lake Minchumina,United States of America,North America,-152,63.75,26,Dfb,"Cold, no dry season, warm summer",32,Small (<50k),3.4424515
Lake Minchumina,United States of America,North America,-152,63.97284012,26,Dfb,"Cold, no dry season, warm summer",32,Small (<50k),13.866667
Tanana,United States of America,North America,-152,65.25,26,Dfb,"Cold, no dry season, warm summer",308,Small (<50k),13.395418
