city,country,q10,lon,lat,koppen_geiger_class,climate_class_label,climate_class_description,nearest_city_pop_max,pop_group
La Paz,Honduras,1.917669874,-87.64,14.74,3,Aw,"Tropical, savannah",71142,Medium (50k-500k)
Yozgat,Turkey,6.659292173,34.75,39.5,7,BSk,"Arid, steppe, cold",87881,Medium (50k-500k)
Veszprém,Hungary,7.165831054,18.1409,46.8825,7,BSk,"Arid, steppe, cold",62023,Medium (50k-500k)
Zalaegerszeg,Hungary,1.320490786,16.462223,47.059723,14,Cfa,"Temperate, no dry season, hot summer",109518,Medium (50k-500k)
Szekszárd,Hungary,3.982685866,18.3179,46.4479,7,BSk,"Arid, steppe, cold",34174,Small (<50k)
Salgótarján,Hungary,1.749792939,19.7416,48.29766,14,Cfa,"Temperate, no dry season, hot summer",39640,Small (<50k)
Békéscsaba,Hungary,0.623961801,21.1417,46.7852,7,BSk,"Arid, steppe, cold",65206,Medium (50k-500k)
Eger,Hungary,0.991193322,20.3768,48.2751,14,Cfa,"Temperate, no dry season, hot summer",247757,Medium (50k-500k)
Aarau,Switzerland,0.543546062,7.8306,47.2666,14,Cfa,"Temperate, no dry season, hot summer",15501,Small (<50k)
Sion,Switzerland,0.730908444,7.0913,46.1257,14,Cfa,"Temperate, no dry season, hot summer",28045,Small (<50k)
Herisau,Switzerland,0.866283411,9.579166,47.260834,14,Cfa,"Temperate, no dry season, hot summer",5649,Small (<50k)
Saint Gallen,Switzerland,0.866283411,9.579166,47.260834,14,Cfa,"Temperate, no dry season, hot summer",5649,Small (<50k)
Bellinzona,Switzerland,0.334403447,9.0093,46.1938,14,Cfa,"Temperate, no dry season, hot summer",16572,Small (<50k)
Glarus,Switzerland,0.430245835,9.4561,46.8377,14,Cfa,"Temperate, no dry season, hot summer",38293,Small (<50k)
Schaffhausen,Switzerland,1.386813384,8.68,47.93,14,Cfa,"Temperate, no dry season, hot summer",33863,Small (<50k)
Frauenfeld,Switzerland,1.386813384,8.68,47.93,14,Cfa,"Temperate, no dry season, hot summer",33863,Small (<50k)
Nyköping,Sweden,3.10631592,16.9375,58.8132,15,Cfb,"Temperate, no dry season, warm summer",27582,Small (<50k)
Karlskrona,Sweden,2.493359515,15.6798,56.2229,15,Cfb,"Temperate, no dry season, warm summer",35212,Small (<50k)
Alba Lulia,Romania,0.425235924,23.581667,46.0375,7,BSk,"Arid, steppe, cold",66085,Medium (50k-500k)
Rimnicu Vilcea,Romania,0.47315442,24.299444,45.385,14,Cfa,"Temperate, no dry season, hot summer",107558,Medium (50k-500k)
Miercurea Cuic,Romania,1.14529385,25.300556,45.99167,7,BSk,"Arid, steppe, cold",60677,Medium (50k-500k)
Chainat,Thailand,1.597558487,100.1922,15.1658,3,Aw,"Tropical, savannah",15469,Small (<50k)
Sing Buri,Thailand,1.597558487,100.1922,15.1658,3,Aw,"Tropical, savannah",15469,Small (<50k)
Yasothon,Thailand,0.1116323,104.1417,15.7817,3,Aw,"Tropical, savannah",21643,Small (<50k)
Maha Sarakham,Thailand,37.7290925,103.0717,16.2533,3,Aw,"Tropical, savannah",51584,Medium (50k-500k)
Roi Et,Thailand,4.355712088,104.0383,16.0583,3,Aw,"Tropical, savannah",21643,Small (<50k)
Piggs Peak,eSwatini,2.212945853,31.316694,-25.543222,6,BSh,"Arid, steppe, hot",348138,Medium (50k-500k)
