city,country,continent,lon,lat,Change_Factor_DSI,climate_class_label,climate_class_description,nearest_city_pop_max,pop_group
Belgrano II Base,Antarctica,Antarctica,-34.875,-77.94262425,0,EF,"Polar, frost/ice cap",100,Small (<50k)
Belgrano II Base,Antarctica,Antarctica,-34.875,-77.94262425,0,EF,"Polar, frost/ice cap",100,Small (<50k)
Aboa Station,Antarctica,Antarctica,-13.75,-75,0,EF,"Polar, frost/ice cap",18,Small (<50k)
Aboa Station,Antarctica,Antarctica,-13.125,-75,0,EF,"Polar, frost/ice cap",18,Small (<50k)
Svea Station,Antarctica,Antarctica,-11.25,-74.57843166,0,EF,"Polar, frost/ice cap",10,Small (<50k)
Svea Station,Antarctica,Antarctica,-11.25,-74.57843166,0,EF,"Polar, frost/ice cap",10,Small (<50k)
Wasa Station,Antarctica,Antarctica,-13.75,-73.03664921,1.396942996,EF,"Polar, frost/ice cap",10,Small (<50k)
Wasa Station,Antarctica,Antarctica,-13.75,-73,0,EF,"Polar, frost/ice cap",10,Small (<50k)
Troll Station,Antarctica,Antarctica,2.5,-72.09424084,1.381272279,EF,"Polar, frost/ice cap",44,Small (<50k)
Novolazarevskaya Station,Antarctica,Antarctica,-12,-71.28958017,0,EF,"Polar, frost/ice cap",70,Small (<50k)
Neumayer Station III,Antarctica,Antarctica,-7.5,-70.985916,0,EF,"Polar, frost/ice cap",40,Small (<50k)
Dumont d'Urville Station,Antarctica,Antarctica,139.6875,-66.875,1.084492569,EF,"Polar, frost/ice cap",120,Small (<50k)
Dumont d'Urville Station,Antarctica,Antarctica,139.6875,-66.85669072,0,EF,"Polar, frost/ice cap",120,Small (<50k)
Casey Station,Antarctica,Antarctica,110.625,-66.25,0,ET,"Polar, tundra",200,Small (<50k)
Gen. O'Higgins Base,Antarctica,Antarctica,-57.5,-63.380283,0,ET,"Polar, tundra",44,Small (<50k)
Esperanza Base,Antarctica,Antarctica,-57.375,-63.36393171,0,ET,"Polar, tundra",250,Small (<50k)
Esperanza Base,Antarctica,Antarctica,-57.375,-63.36393171,0,ET,"Polar, tundra",250,Small (<50k)
Great Wall Station,Antarctica,Antarctica,-59.0625,-62.33380314,1.077828592,ET,"Polar, tundra",40,Small (<50k)
Puerto Williams,Chile,South America,-67.5,-55.13089005,0.899249644,Cfc,"Temperate, no dry season, cold summer",2500,Small (<50k)
Puerto Williams,Chile,South America,-67.5,-55.02481079,0,ET,"Polar, tundra",2500,Small (<50k)
Puerto Williams,Chile,South America,-67.5,-55.02480754,0,ET,"Polar, tundra",2500,Small (<50k)
Puerto Williams,Chile,South America,-67.5,-55,0,Cfc,"Temperate, no dry season, cold summer",2500,Small (<50k)
Ushuaia,Argentina,South America,-68,-54.75,0.71327318,ET,"Polar, tundra",58028,Medium (50k-500k)
Ushuaia,Argentina,South America,-68.4375,-54.70102573,0,ET,"Polar, tundra",58028,Medium (50k-500k)
Puerto Williams,Chile,South America,-67.5,-54.70102573,0,ET,"Polar, tundra",2500,Small (<50k)
Grytviken,South Georgia and the Islands,Seven seas (open ocean),-36.5625,-54.41619953,1.403118085,EF,"Polar, frost/ice cap",99,Small (<50k)
Grytviken,South Georgia and the Islands,Seven seas (open ocean),-36.5625,-54.375,1.10721633,ET,"Polar, tundra",99,Small (<50k)
Punta Arenas,Chile,South America,-71.25,-53.2460733,1.099908073,Cfc,"Temperate, no dry season, cold summer",117430,Medium (50k-500k)
Punta Arenas,Chile,South America,-71.25,-53.1595993,0,Cfc,"Temperate, no dry season, cold summer",117430,Medium (50k-500k)
Punta Arenas,Chile,South America,-71.25,-53.15959537,0,Cfc,"Temperate, no dry season, cold summer",117430,Medium (50k-500k)
Río Verde,Chile,South America,-71.71875,-52.52861709,1.011553142,Cfb,"Temperate, no dry season, warm summer",358,Small (<50k)
Río Verde,Chile,South America,-71.25,-52.5,0,BSk,"Arid, steppe, cold",358,Small (<50k)
Puerto Natales,Chile,South America,-72.5,-51.971832,0,Cfb,"Temperate, no dry season, warm summer",20000,Small (<50k)
Fox Bay,Falkland Islands,South America,-60,-51.971832,0,Cfb,"Temperate, no dry season, warm summer",120,Small (<50k)
28 de Noviembre,Argentina,South America,-72.1875,-51.89585745,0,Cfb,"Temperate, no dry season, warm summer",20000,Small (<50k)
Fox Bay,Falkland Islands,South America,-60,-51.89585745,0,Cfb,"Temperate, no dry season, warm summer",120,Small (<50k)
28 de Noviembre,Argentina,South America,-72.1875,-51.875,1.176906916,Cfb,"Temperate, no dry season, warm summer",20000,Small (<50k)
28 de Noviembre,Argentina,South America,-72,-51.75,0.602767518,Cfb,"Temperate, no dry season, warm summer",5300,Small (<50k)
Fox Bay,Falkland Islands,South America,-60,-51.75,1.258911379,Cfb,"Temperate, no dry season, warm summer",120,Small (<50k)
Stanley,Falkland Islands,South America,-58,-51.75,1.068896406,Cfb,"Temperate, no dry season, warm summer",2213,Small (<50k)
28 de Noviembre,Argentina,South America,-72,-51.64556962,0,Cfb,"Temperate, no dry season, warm summer",5300,Small (<50k)
Stanley,Falkland Islands,South America,-58,-51.64556962,0,Cfb,"Temperate, no dry season, warm summer",2213,Small (<50k)
El Calafate,Argentina,South America,-72.5,-50.41884817,0.754840691,BSk,"Arid, steppe, cold",8000,Small (<50k)
El Calafate,Argentina,South America,-72,-50.25,0.58742711,BWk,"Arid, desert, cold",8000,Small (<50k)
